fg%,3p%,ft,tov%,ortg_max,drtg_max,home
0.382,0.342,14.0,13.2,128.0,113.0,1
0.373,0.405,15.0,12.3,152.0,112.0,1
0.489,0.619,18.0,13.2,300.0,104.0,1
0.392,0.273,16.0,13.0,135.0,108.0,0
0.365,0.3,11.0,9.6,190.0,110.0,0
0.511,0.381,21.0,11.5,236.0,113.0,1
0.391,0.349,20.0,6.7,226.0,127.0,1
0.476,0.233,5.0,15.7,158.0,114.0,0
0.398,0.25,14.0,7.5,141.0,115.0,0
0.372,0.31,20.0,17.4,151.0,118.0,0
0.567,0.579,18.0,9.9,220.0,105.0,1
0.368,0.211,16.0,15.1,165.0,110.0,0
0.409,0.231,16.0,8.5,200.0,128.0,0
0.467,0.19,20.0,18.0,177.0,142.0,0
0.488,0.351,19.0,15.9,147.0,126.0,0
0.511,0.517,15.0,10.7,233.0,122.0,1
0.5,0.421,27.0,10.5,158.0,129.0,0
0.527,0.259,17.0,18.8,206.0,122.0,1
0.346,0.364,30.0,13.5,300.0,119.0,0
0.41,0.313,18.0,10.9,132.0,106.0,0
0.488,0.4,12.0,14.6,188.0,101.0,1
0.4,0.297,16.0,13.0,178.0,122.0,0
0.425,0.393,11.0,20.5,141.0,126.0,1
0.544,0.417,15.0,18.1,184.0,115.0,1
0.481,0.429,20.0,15.8,150.0,109.0,1
0.519,0.346,19.0,6.0,208.0,122.0,1
0.355,0.241,15.0,14.5,181.0,134.0,0
0.433,0.233,13.0,10.1,132.0,106.0,0
0.481,0.538,23.0,11.5,250.0,130.0,1
0.453,0.407,22.0,9.2,158.0,131.0,1
0.527,0.4,18.0,9.7,169.0,125.0,1
0.512,0.45,21.0,7.4,159.0,132.0,0
0.513,0.414,25.0,13.8,198.0,135.0,0
0.452,0.241,20.0,16.0,137.0,119.0,1
0.326,0.206,22.0,16.7,118.0,119.0,0
0.549,0.308,12.0,12.4,182.0,135.0,1
0.365,0.154,13.0,13.0,200.0,116.0,0
0.567,0.563,29.0,17.7,131.0,106.0,1
0.539,0.425,18.0,12.5,196.0,119.0,0
0.402,0.25,17.0,8.8,129.0,119.0,0
0.42,0.258,12.0,16.1,224.0,129.0,1
0.472,0.261,10.0,12.7,165.0,107.0,1
0.442,0.314,12.0,13.0,160.0,142.0,1
0.463,0.31,9.0,13.0,231.0,123.0,0
0.444,0.351,14.0,11.9,132.0,116.0,0
0.488,0.241,17.0,6.8,197.0,120.0,1
0.521,0.27,24.0,12.1,191.0,134.0,0
0.433,0.36,11.0,8.1,157.0,143.0,0
0.386,0.387,27.0,10.9,235.0,107.0,0
0.489,0.583,22.0,13.5,163.0,87.0,0
0.519,0.444,15.0,17.5,182.0,100.0,1
0.542,0.357,23.0,8.7,155.0,124.0,1
0.382,0.233,17.0,9.3,144.0,109.0,1
0.412,0.344,10.0,17.6,157.0,112.0,1
0.483,0.429,14.0,12.9,144.0,110.0,0
0.481,0.583,16.0,15.1,148.0,137.0,0
0.447,0.333,17.0,10.1,147.0,113.0,0
0.512,0.303,24.0,12.0,200.0,117.0,1
0.455,0.36,30.0,8.8,224.0,118.0,1
